"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Feb 03 11:14:06 IST 2023","Fri Feb 03 11:14:06 IST 2023","0","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Feb 03 11:19:05 IST 2023","Fri Feb 03 11:19:12 IST 2023","7184","","Automation test store web page","","Automation test store web page","can navigate by using navigation bar","can navigate by using navigation bar",""
